# AlphaBot EC2 Container Log — 2026-04-29
# Container rebuilt at 09:16 UTC (per-strategy cooldown + tight-stop fix deployed)
# Logs before 09:16 UTC are not available in Docker log buffer (prior container run)
# Historical trades from all prior sessions are in the SQLite DB

2026-04-29T09:16:37.195793166Z 2026-04-29 09:16:37.195 | INFO     | alphabot.utils.logger:setup_logger:61 | Logger initialized
2026-04-29T09:16:37.196328588Z 2026-04-29 09:16:37.196 | INFO     | __main__:main:33 | ============================================================
2026-04-29T09:16:37.196665913Z 2026-04-29 09:16:37.196 | INFO     | __main__:main:34 |    ⚡ AlphaBot — Adaptive Algorithmic Trading System
2026-04-29T09:16:37.197148964Z 2026-04-29 09:16:37.197 | INFO     | __main__:main:35 |    Environment: TESTNET
2026-04-29T09:16:37.197429205Z 2026-04-29 09:16:37.197 | INFO     | __main__:main:36 |    Pairs: BTCUSDT, ETHUSDT, SOLUSDT
2026-04-29T09:16:37.197688257Z 2026-04-29 09:16:37.197 | INFO     | __main__:main:37 |    Timeframe: 15m
2026-04-29T09:16:37.198039853Z 2026-04-29 09:16:37.197 | INFO     | __main__:main:38 |    Max Leverage: 5x
2026-04-29T09:16:37.198304745Z 2026-04-29 09:16:37.198 | INFO     | __main__:main:39 |    Risk Per Trade: 0.5%
2026-04-29T09:16:37.198599643Z 2026-04-29 09:16:37.198 | INFO     | __main__:main:40 | ============================================================
2026-04-29T09:16:37.591239963Z 2026-04-29 09:16:37.591 | INFO     | __main__:main:45 | Database initialized
2026-04-29T09:16:38.784085797Z 2026-04-29 09:16:38.783 | INFO     | alphabot.data.timeframe_manager:configure_default_stack:102 | [TFManager] Stack: entry=['15m'] bias=['1h', '4h']
2026-04-29T09:16:40.811211917Z 2026-04-29 09:16:40.810 | INFO     | alphabot.execution.testnet_client:connect:56 | [Client] Connected to Binance TESTNET
2026-04-29T09:16:42.629598167Z 2026-04-29 09:16:42.628 | INFO     | __main__:main:116 | Account snapshot (futures): available=$3,368.28 wallet=$3,368.28 margin=$3,368.28 unrealized=$0.00
2026-04-29T09:16:42.639571210Z 2026-04-29 09:16:42.639 | INFO     | alphabot.risk.risk_manager:initialize:88 | [Risk] Initialized: balance=3368.28284065 peak=3381.64281732
2026-04-29T09:16:45.165903089Z 2026-04-29 09:16:45.165 | WARNING  | alphabot.data.websocket_client:start:50 | [MarketData] REST fallback enabled — polling every 30s
2026-04-29T09:16:45.166076727Z 2026-04-29 09:16:45.166 | INFO     | alphabot.data.websocket_client:start:54 | WebSocket client started
2026-04-29T09:16:45.167523649Z 2026-04-29 09:16:45.167 | INFO     | alphabot.positions.position_manager:start_monitor:191 | [PosManager] Monitor loop started
2026-04-29T09:16:45.167994021Z 2026-04-29 09:16:45.167 | INFO     | __main__:main:351 | 🚀 AlphaBot is running! Press Ctrl+C to stop.
2026-04-29T09:16:45.566723664Z 2026-04-29 09:16:45.566 | INFO     | alphabot.data.websocket_client:_run_websocket:213 | WebSocket connected successfully
2026-04-29T09:30:17.179009997Z 2026-04-29 09:30:17.178 | INFO     | alphabot.regime.detector:detect:74 | Regime change: BTCUSDT None → MarketRegime.TRENDING_UP
2026-04-29T09:30:17.659459330Z 2026-04-29 09:30:17.659 | INFO     | alphabot.regime.detector:detect:74 | Regime change: ETHUSDT None → MarketRegime.TRENDING_UP
2026-04-29T09:30:18.138522147Z 2026-04-29 09:30:18.138 | INFO     | alphabot.regime.detector:detect:74 | Regime change: SOLUSDT None → MarketRegime.TRENDING_DOWN
